"match_id","inning","batting_team","bowling_team","over","ball","batsman","non_striker","bowler","is_super_over","wide_runs","bye_runs","legbye_runs","noball_runs","penalty_runs","batsman_runs","extra_runs","total_runs","player_dismissed","dismissal_kind","fielder"
401,1,"Chennai Super Kings","Kings XI Punjab",1,3,"BB McCullum","DR Smith","AR Patel",0,5,0,0,0,0,0,5,5,"","",""
402,1,"Sunrisers Hyderabad","Rajasthan Royals",3,4,"S Dhawan","DA Warner","JP Faulkner",0,5,0,0,0,0,0,5,5,"","",""
403,1,"Mumbai Indians","Royal Challengers Bangalore",6,5,"AP Tare","AT Rayudu","JA Morkel",0,5,0,0,0,0,0,5,5,"","",""
404,1,"Kolkata Knight Riders","Delhi Daredevils",1,3,"MK Pandey","G Gambhir","Mohammed Shami",0,5,0,0,0,0,0,5,5,"","",""
408,1,"Chennai Super Kings","Rajasthan Royals",14,5,"M Manhas","RA Jadeja","PV Tambe",0,5,0,0,0,0,0,5,5,"","",""
418,1,"Sunrisers Hyderabad","Mumbai Indians",8,3,"DA Warner","KL Rahul","PP Ojha",0,5,0,0,0,0,0,5,5,"","",""
418,1,"Sunrisers Hyderabad","Mumbai Indians",15,1,"DA Warner","KL Rahul","PP Ojha",0,5,0,0,0,0,0,5,5,"","",""
425,1,"Mumbai Indians","Royal Challengers Bangalore",8,1,"CM Gautam","AT Rayudu","AB Dinda",0,5,0,0,0,0,0,5,5,"","",""
435,1,"Rajasthan Royals","Chennai Super Kings",3,4,"SR Watson","Ankit Sharma","S Badree",0,5,0,0,0,0,0,5,5,"","",""
437,1,"Sunrisers Hyderabad","Kings XI Punjab",12,1,"S Dhawan","NV Ojha","R Dhawan",0,5,0,0,0,0,0,5,5,"","",""
446,2,"Mumbai Indians","Kings XI Punjab",2,2,"MEK Hussey","LMP Simmons","BE Hendricks",0,5,0,0,0,0,0,5,5,"","",""
452,1,"Sunrisers Hyderabad","Kolkata Knight Riders",3,6,"NV Ojha","S Dhawan","M Morkel",0,5,0,0,0,0,0,5,5,"","",""
453,1,"Delhi Daredevils","Kings XI Punjab",14,6,"S Nadeem","JDS Neesham","R Dhawan",0,5,0,0,0,0,0,5,5,"","",""
453,2,"Kings XI Punjab","Delhi Daredevils",7,6,"DA Miller","M Vohra","JP Duminy",0,5,0,0,0,0,0,5,5,"","",""
461,1,"Rajasthan Royals","Kings XI Punjab",9,2,"STR Binny","SPD Smith","MG Johnson",0,5,0,0,0,0,0,5,5,"","",""
466,1,"Royal Challengers Bangalore","Sunrisers Hyderabad",7,1,"V Kohli","KD Karthik","RS Bopara",0,5,0,0,0,0,0,5,5,"","",""
